,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,cora,0.8818,0.3842,0.8818,0.7718,0.7483,0.7718,1.0,0.0125,1.0,0.7816,0.9538,0.7816,0.5,0.5722,0.5632,0.5378,0.5312,0.5525,0.5829,0.17,123454321,0.6543,0.184,75.298,0.0002,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,cora,0.8571,0.4626,0.8571,0.7882,0.6868,0.7882,0.9984,0.0128,0.9984,0.8161,0.8764,0.8161,0.5,0.5575,0.5788,0.5246,0.5099,0.5361,0.578,0.04,246908642,0.6693,0.1761,75.298,0.0002,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,cora,0.8621,0.4601,0.8621,0.7537,0.7378,0.7537,0.9901,0.0271,0.9901,0.7947,0.8959,0.7947,0.5,0.5681,0.5575,0.5328,0.5016,0.5378,0.5862,0.03,370362963,0.712,0.1768,75.298,0.0002,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,cora,0.8539,0.4438,0.8539,0.7455,0.776,0.7455,0.9984,0.0102,0.9984,0.78,1.0744,0.78,0.5,0.5673,0.5698,0.5279,0.5213,0.5484,0.5878,0.06,493817284,0.6758,0.1801,75.298,0.0002,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,271,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,cora,0.8785,0.3936,0.8785,0.7849,0.6504,0.7849,0.9967,0.0167,0.9967,0.7603,0.9925,0.7603,0.5,0.5821,0.592,0.5394,0.5082,0.5558,0.592,0.05,617271605,0.6608,0.173,75.298,0.0002,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,244,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,cora,0.8851,0.3572,0.8851,0.7833,0.7048,0.7833,0.9984,0.0133,0.9984,0.7783,1.0101,0.7783,0.5,0.5846,0.578,0.5558,0.5304,0.5534,0.6034,0.04,740725926,0.6663,0.1938,75.298,0.0002,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,245,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,cora,0.8654,0.4234,0.8654,0.7783,0.7041,0.7783,0.9984,0.0144,0.9984,0.8062,0.8154,0.8062,0.5,0.5599,0.5624,0.5386,0.5049,0.5534,0.5805,0.02,864180247,0.6539,0.1727,75.298,0.0002,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,cora,0.8506,0.496,0.8506,0.7225,0.886,0.7225,0.9967,0.0127,0.9967,0.78,0.8663,0.78,0.5,0.5731,0.5747,0.5419,0.5074,0.5361,0.601,0.02,987634568,0.658,0.1813,75.298,0.0002,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,261,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,cora,0.8736,0.38,0.8736,0.7833,0.6649,0.7833,0.9967,0.0166,0.9967,0.7997,0.8913,0.7997,0.5,0.5952,0.6084,0.555,0.5353,0.5624,0.6158,0.05,1111088889,0.6847,0.1758,75.298,0.0002,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,243,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,cora,0.8851,0.3717,0.8851,0.7882,0.6988,0.7882,1.0,0.0084,1.0,0.7849,0.8811,0.7849,0.5,0.5575,0.587,0.5337,0.5016,0.5435,0.5952,0.04,1234543210,0.6652,0.1735,75.298,0.0002,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,252,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
