,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,photo,0.9517,0.1719,0.9517,0.9122,0.2977,0.9122,0.982,0.0548,0.982,0.9297,0.2916,0.9297,0.5,0.5172,0.5215,0.5233,0.5142,0.5084,0.5273,0.2,123454321,2.5627,0.1732,77.7768,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,328,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,photo,0.9413,0.195,0.9413,0.9163,0.2892,0.9163,0.9814,0.0712,0.9814,0.9337,0.27,0.9337,0.5,0.5265,0.518,0.5099,0.5058,0.516,0.5294,0.03,246908642,2.5259,0.1828,77.7768,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,324,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,photo,0.9465,0.1939,0.9465,0.9267,0.2796,0.9267,0.9831,0.066,0.9831,0.9203,0.3212,0.9203,0.5,0.5186,0.5174,0.5212,0.5157,0.5282,0.5215,0.01,370362963,2.5642,0.1789,77.7768,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,404,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,photo,0.9366,0.2149,0.9366,0.9151,0.3011,0.9151,0.9837,0.0662,0.9837,0.936,0.2396,0.936,0.5,0.5052,0.5096,0.5058,0.5186,0.5032,0.5183,0.13,493817284,2.5159,0.1868,77.7768,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,363,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,photo,0.9442,0.1936,0.9442,0.9192,0.2873,0.9192,0.9837,0.0596,0.9837,0.9314,0.3213,0.9314,0.5,0.5227,0.5279,0.525,0.5186,0.5169,0.5215,0.07,617271605,2.5358,0.1727,77.7768,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,320,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,photo,0.9453,0.1972,0.9453,0.9209,0.2688,0.9209,0.989,0.0435,0.989,0.9302,0.3104,0.9302,0.5,0.5151,0.5137,0.5038,0.518,0.5084,0.5157,0.18,740725926,2.6869,0.1848,72.2401,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,454,366,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,photo,0.9494,0.2061,0.9494,0.9267,0.2839,0.9267,0.9808,0.0568,0.9808,0.9337,0.2749,0.9337,0.5,0.514,0.5177,0.5058,0.5145,0.5154,0.5151,0.11,864180247,2.6773,0.1779,77.7768,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,344,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,photo,0.9448,0.205,0.9448,0.9169,0.3126,0.9169,0.9866,0.0518,0.9866,0.939,0.2525,0.939,0.5,0.5052,0.5078,0.5093,0.5119,0.4994,0.5177,0.06,987634568,2.5929,0.1818,77.7768,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,352,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,photo,0.9552,0.1672,0.9552,0.9395,0.2419,0.9395,0.9779,0.0666,0.9779,0.9267,0.2814,0.9267,0.5,0.5113,0.5157,0.5189,0.516,0.5134,0.5186,0.01,1111088889,2.5529,0.1814,77.7768,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,304,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,photo,0.9401,0.2161,0.9401,0.9221,0.3111,0.9221,0.9785,0.0678,0.9785,0.9337,0.2679,0.9337,0.5,0.5233,0.5279,0.5067,0.5203,0.5209,0.5201,0.0300,1234543210,2.6092,0.1818,77.7768,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,316,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
