,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,pubmed,0.9021,0.2851,0.9021,0.869,0.3439,0.869,0.9231,0.2214,0.9231,0.8442,0.446,0.8442,0.5,0.5116,0.5083,0.5034,0.5048,0.5022,0.5173,0.42,123454321,4.8305,0.1704,171.0183,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,500,443,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,pubmed,0.9015,0.2788,0.9015,0.865,0.359,0.865,0.9213,0.225,0.9213,0.8438,0.4566,0.8438,0.5,0.506,0.501,0.5011,0.5076,0.5042,0.5198,0.46,246908642,4.7851,0.1851,171.0183,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,500,444,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,pubmed,0.892,0.2904,0.892,0.8663,0.3578,0.8663,0.9193,0.235,0.9193,0.8422,0.4498,0.8422,0.5,0.5,0.5024,0.4943,0.4999,0.5033,0.5199,0.13,370362963,4.8227,0.176,171.0183,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,500,397,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,pubmed,0.8963,0.2881,0.8963,0.8735,0.3542,0.8735,0.9209,0.2275,0.9209,0.8521,0.4307,0.8521,0.5,0.5027,0.5067,0.5077,0.5085,0.508,0.5128,0.47,493817284,4.9335,0.1776,171.0183,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,500,465,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,pubmed,0.8985,0.2906,0.8985,0.855,0.3786,0.855,0.9263,0.22,0.9263,0.8413,0.4485,0.8413,0.5,0.5163,0.5148,0.5093,0.5089,0.5117,0.5269,0.27,617271605,5.0477,0.1837,171.0183,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,500,437,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,pubmed,0.897,0.2869,0.897,0.8616,0.3516,0.8616,0.9215,0.2386,0.9215,0.8336,0.4636,0.8336,0.5,0.5077,0.5065,0.497,0.5053,0.5072,0.5189,0.36,740725926,5.0956,0.183,171.0183,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,500,407,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,pubmed,0.8965,0.2864,0.8965,0.8523,0.389,0.8523,0.92,0.2212,0.92,0.8449,0.4299,0.8449,0.5,0.5,0.5103,0.4981,0.5012,0.5177,0.527,0.17,864180247,5.0406,0.1854,171.0183,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,500,410,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,pubmed,0.8961,0.28,0.8961,0.8704,0.3544,0.8704,0.9195,0.2333,0.9195,0.8377,0.457,0.8377,0.5,0.5045,0.5035,0.5008,0.5046,0.5023,0.5154,0.56,987634568,5.0782,0.1849,171.0183,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,500,392,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,pubmed,0.9021,0.2774,0.9021,0.8656,0.3579,0.8656,0.9204,0.228,0.9204,0.8487,0.4528,0.8487,0.5,0.506,0.5092,0.4989,0.5089,0.5083,0.5192,0.42,1111088889,5.005,0.1812,171.0183,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,500,439,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,pubmed,0.899,0.2832,0.899,0.8724,0.3564,0.8724,0.9195,0.2362,0.9195,0.851,0.4223,0.851,0.5,0.5051,0.509,0.4927,0.5011,0.5024,0.5148,0.38,1234543210,5.0426,0.1786,171.0183,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,500,398,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
