,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,flickr,0.487,1.7874,0.487,0.3937,2.1723,0.3937,0.769,0.7101,0.769,0.4175,1.9557,0.4175,0.2,0.5142,0.5084,0.512,0.5045,0.5148,0.5525,0.35,123454321,13.752,0.1993,7.3986,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,217,280,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,flickr,0.5152,1.7553,0.5152,0.4093,2.2258,0.4093,0.7806,0.7119,0.7806,0.4236,1.9225,0.4236,0.2,0.5152,0.5116,0.5172,0.5061,0.5174,0.5548,0.32,246908642,13.3368,0.2153,7.7966,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,237,272,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,flickr,0.5108,1.8028,0.5108,0.4048,2.2157,0.4048,0.7488,0.7734,0.7488,0.4134,1.8734,0.4134,0.2,0.5119,0.5117,0.514,0.496,0.5171,0.5541,0.27,370362963,12.3493,0.202,8.1254,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,254,262,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,flickr,0.497,1.8695,0.497,0.3993,2.3372,0.3993,0.8091,0.62,0.8091,0.3991,2.0806,0.3991,0.2,0.512,0.5127,0.5184,0.5043,0.5162,0.5542,0.37,493817284,14.4762,0.2223,7.58,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,226,271,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,flickr,0.5014,1.7909,0.5014,0.396,2.2485,0.396,0.7629,0.7459,0.7629,0.4348,1.8802,0.4348,0.2,0.5078,0.5103,0.5084,0.5091,0.5095,0.5551,0.35,617271605,13.9638,0.1964,7.8163,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,238,277,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,flickr,0.4933,1.8641,0.4933,0.4067,2.2683,0.4067,0.7711,0.713,0.7711,0.4159,1.963,0.4159,0.2,0.5091,0.5088,0.5094,0.5019,0.5059,0.5488,0.36,740725926,13.6205,0.1987,7.9335,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,244,264,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,flickr,0.5075,1.7993,0.5075,0.4014,2.2412,0.4014,0.7912,0.6654,0.7912,0.4237,1.9481,0.4237,0.2,0.5086,0.5102,0.5091,0.4989,0.51,0.5561,0.29,864180247,14.9956,0.22,7.7178,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,233,274,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,flickr,0.5007,1.7837,0.5007,0.4036,2.2114,0.4036,0.7782,0.7126,0.7782,0.4368,1.8989,0.4368,0.2,0.5129,0.5128,0.5109,0.4973,0.5165,0.5506,0.35,987634568,12.9583,0.2224,7.7572,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,235,258,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,flickr,0.5014,1.8076,0.5014,0.4181,2.1936,0.4181,0.7786,0.7195,0.7786,0.4318,1.9101,0.4318,0.2,0.5117,0.5135,0.5101,0.4966,0.513,0.5474,0.34,1111088889,13.2712,0.2133,7.8951,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,242,272,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,flickr,0.5073,1.7541,0.5073,0.3993,2.2618,0.3993,0.7574,0.7441,0.7574,0.4178,1.9168,0.4178,0.2,0.5156,0.512,0.5129,0.4994,0.5107,0.5558,0.29,1234543210,13.3188,0.2141,7.7178,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,233,286,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
10,flickr,0.5233,1.3877,0.5233,0.4469,1.6343,0.4469,0.6223,1.0785,0.6223,0.4626,1.5892,0.4626,0.4,0.5043,0.5061,0.5047,0.5009,0.5063,0.5401,0.28,123454321,31.0901,0.2389,20.6971,0.0,False,True,False,1.0,2.0,occurance,0.4,20,30.0,5,50,3,276,321,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
11,flickr,0.5173,1.4006,0.5173,0.4623,1.6156,0.4623,0.6045,1.1359,0.6045,0.4645,1.5795,0.4645,0.4,0.5006,0.5024,0.5016,0.4985,0.4985,0.535,0.38,246908642,26.7976,0.2077,22.0463,0.0,False,True,False,1.0,2.0,occurance,0.4,20,30.0,5,50,3,304,322,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
12,flickr,0.4856,1.8214,0.4856,0.3929,2.2064,0.3929,0.7674,0.7126,0.7674,0.4143,1.9559,0.4143,0.2,0.5099,0.5061,0.5143,0.5045,0.5081,0.5526,0.35,123454321,12.2227,0.1925,7.7313,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,227,279,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
13,flickr,0.5111,1.7796,0.5111,0.4107,2.2538,0.4107,0.7758,0.715,0.7758,0.4209,1.917,0.4209,0.2,0.5166,0.5082,0.5144,0.5004,0.5155,0.5535,0.32,246908642,11.314,0.1972,7.9124,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,236,272,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
14,flickr,0.5221,1.3936,0.5221,0.4384,1.6553,0.4384,0.6164,1.116,0.6164,0.4568,1.5858,0.4568,0.4,0.4991,0.5081,0.5083,0.5077,0.5073,0.5446,0.31,370362963,26.274,0.2458,21.3235,0.0,False,True,False,1.0,2.0,occurance,0.4,20,30.0,5,50,3,289,308,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
