,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,lastfmasia,0.8079,0.8334,0.8079,0.752,1.0433,0.752,0.9755,0.1174,0.9755,0.8285,0.9056,0.8285,0.5,0.5197,0.5363,0.5305,0.5173,0.5252,0.5486,0.04,123454321,2.4321,0.1776,8.8263,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,330,323,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,lastfmasia,0.8091,0.7815,0.8091,0.7462,1.0909,0.7462,0.9761,0.1103,0.9761,0.7952,0.9184,0.7952,0.5,0.5346,0.5305,0.5211,0.5092,0.5206,0.5459,0.02,246908642,0.8575,0.1755,9.1511,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,350,307,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,lastfmasia,0.8062,0.9008,0.8062,0.7538,1.1711,0.7538,0.9778,0.1052,0.9778,0.8011,0.9724,0.8011,0.5,0.5244,0.5413,0.5133,0.529,0.5355,0.534,0.05,370362963,2.0054,0.1794,10.5164,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,438,312,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,lastfmasia,0.8155,0.877,0.8155,0.766,1.0192,0.766,0.9807,0.1044,0.9807,0.825,0.8766,0.825,0.5,0.5188,0.5147,0.5144,0.5127,0.5208,0.53,0.11,493817284,0.89,0.1745,8.8097,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,329,331,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,lastfmasia,0.8114,0.7583,0.8114,0.7439,1.098,0.7439,0.9737,0.1165,0.9737,0.8081,0.9761,0.8081,0.5,0.5238,0.5226,0.5095,0.5124,0.5179,0.5413,0.03,617271605,0.9393,0.1919,8.3254,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,300,331,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,lastfmasia,0.7928,0.8971,0.7928,0.7462,1.1222,0.7462,0.9802,0.1122,0.9802,0.8011,0.9982,0.8011,0.5,0.5174,0.5244,0.506,0.5124,0.5273,0.5332,0.07,740725926,0.8641,0.1746,9.4242,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,367,306,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,lastfmasia,0.7968,0.9382,0.7968,0.7573,1.1596,0.7573,0.9766,0.1053,0.9766,0.8063,0.9417,0.8063,0.5,0.5151,0.5145,0.52,0.5066,0.5165,0.5306,0.12,864180247,0.854,0.1741,9.6594,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,382,317,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,lastfmasia,0.7986,0.8302,0.7986,0.7515,1.0735,0.7515,0.9772,0.1097,0.9772,0.7987,0.9793,0.7987,0.5,0.5205,0.5267,0.5179,0.5165,0.5241,0.5296,0.06,987634568,0.9392,0.1941,8.8926,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,334,312,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,lastfmasia,0.8231,0.7452,0.8231,0.7812,0.963,0.7812,0.9807,0.0932,0.9807,0.8133,0.9624,0.8133,0.5,0.5249,0.5282,0.5194,0.5083,0.5235,0.5332,0.07,1111088889,0.8954,0.1877,8.5778,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,315,325,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,lastfmasia,0.7986,0.879,0.7986,0.7608,1.0199,0.7608,0.9784,0.1082,0.9784,0.7923,0.9892,0.7923,0.5,0.5133,0.5174,0.5083,0.515,0.5048,0.5221,0.15,1234543210,2.1693,0.1946,9.1029,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,347,316,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
