,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,citeseer,0.7904,0.6231,0.7904,0.7112,1.0383,0.7112,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.5867,0.5698,0.5487,0.5123,0.55,0.5966,0.04,123454321,0.7898,0.1749,46.8223,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,264,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,citeseer,0.785,0.6245,0.785,0.6751,1.0087,0.6751,0.984,0.0299,0.984,0.6925,1.7467,0.6925,0.5,0.584,0.5685,0.546,0.5077,0.5387,0.5993,0.02,246908642,0.8199,0.1868,45.2897,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,252,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,citeseer,0.8051,0.5295,0.8051,0.6631,1.0435,0.6631,0.988,0.0255,0.988,0.6738,1.6438,0.6738,0.5,0.5974,0.5812,0.5473,0.5203,0.548,0.6039,0.05,370362963,0.811,0.1807,49.6321,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,286,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,citeseer,0.8291,0.4756,0.8291,0.6738,1.0351,0.6738,0.9853,0.0315,0.9853,0.6832,1.7936,0.6832,0.5,0.5827,0.5758,0.5427,0.5044,0.5394,0.6146,0.04,493817284,0.817,0.175,45.2897,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,252,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,citeseer,0.8264,0.5092,0.8264,0.6791,0.9913,0.6791,0.9866,0.0327,0.9866,0.639,1.8156,0.639,0.5,0.5873,0.5504,0.536,0.4997,0.5353,0.5973,0.01,617271605,0.7876,0.1853,46.3115,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,260,227,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,citeseer,0.8158,0.5404,0.8158,0.6925,0.9834,0.6925,0.9893,0.0283,0.9893,0.6671,1.7169,0.6671,0.5,0.592,0.5778,0.5554,0.5104,0.55,0.616,0.01,740725926,0.7857,0.1724,45.5451,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,254,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,citeseer,0.7944,0.6309,0.7944,0.6778,1.0075,0.6778,0.9853,0.0268,0.9853,0.6765,1.6721,0.6765,0.5,0.5747,0.5805,0.5307,0.5096,0.538,0.5933,0.02,864180247,0.8023,0.1729,46.5669,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,262,227,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,citeseer,0.8291,0.5521,0.8291,0.6885,1.0438,0.6885,0.984,0.0318,0.984,0.6564,1.765,0.6564,0.5,0.6093,0.5711,0.55,0.5097,0.558,0.608,0.01,987634568,0.8024,0.1733,46.056,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,258,224,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,citeseer,0.8091,0.6087,0.8091,0.6537,1.0825,0.6537,0.9866,0.0302,0.9866,0.6671,1.7409,0.6671,0.5,0.5993,0.5838,0.5393,0.4936,0.5454,0.6053,0.01,1111088889,0.7827,0.1751,53.336,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,315,224,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,citeseer,0.8224,0.5521,0.8224,0.6858,1.0409,0.6858,0.9866,0.0289,0.9866,0.6698,1.5881,0.6698,0.5,0.5939,0.5898,0.5534,0.4983,0.5534,0.6073,0.0200,1234543210,0.7931,0.1728,47.9718,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,273,220,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
