,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,computers,0.9256,0.247,0.9256,0.8804,0.421,0.8804,0.9635,0.1372,0.9635,0.8908,0.3911,0.8908,0.5,0.519,0.5177,0.5091,0.5041,0.5158,0.5336,0.04,123454321,13.9422,0.1861,169.7956,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,500,333,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,computers,0.9263,0.2269,0.9263,0.8704,0.4575,0.8704,0.9586,0.1417,0.9586,0.8972,0.4357,0.8972,0.5,0.5078,0.5224,0.5148,0.5164,0.5179,0.5354,0.14,246908642,10.8432,0.1795,169.7956,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,500,346,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,computers,0.9279,0.2405,0.9279,0.8785,0.4281,0.8785,0.9596,0.1375,0.9596,0.9037,0.3529,0.9037,0.5,0.5218,0.5261,0.5038,0.5137,0.5196,0.5291,0.2,370362963,22.5179,0.1842,169.5203,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,499,376,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,computers,0.9231,0.257,0.9231,0.8723,0.418,0.8723,0.9492,0.159,0.9492,0.8972,0.4062,0.8972,0.5,0.5106,0.5184,0.5033,0.5185,0.5015,0.5281,0.05,493817284,11.6975,0.1769,137.5805,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,383,379,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,computers,0.9243,0.2529,0.9243,0.8736,0.4237,0.8736,0.958,0.1467,0.958,0.9027,0.3842,0.9027,0.5,0.5323,0.529,0.5101,0.5115,0.5161,0.5342,0.07,617271605,15.1649,0.1765,169.7956,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,500,380,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,computers,0.9143,0.2615,0.9143,0.863,0.4312,0.863,0.9606,0.1417,0.9606,0.9005,0.381,0.9005,0.5,0.5203,0.5245,0.508,0.5124,0.5076,0.536,0.06,740725926,23.7678,0.1786,169.7956,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,500,418,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,computers,0.9305,0.2269,0.9305,0.8882,0.4078,0.8882,0.9557,0.1646,0.9557,0.8985,0.3821,0.8985,0.5,0.5109,0.5053,0.5059,0.5092,0.5116,0.5233,0.15,864180247,16.4707,0.1942,169.7956,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,500,332,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,computers,0.9227,0.2437,0.9227,0.8749,0.4341,0.8749,0.9596,0.1506,0.9596,0.8992,0.4057,0.8992,0.5,0.5043,0.5231,0.509,0.5115,0.5169,0.5354,0.1,987634568,22.5638,0.1892,169.5203,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,499,369,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,computers,0.9308,0.2345,0.9308,0.8904,0.3765,0.8904,0.9596,0.1401,0.9596,0.8859,0.4771,0.8859,0.5,0.5135,0.5156,0.5188,0.5043,0.5148,0.5297,0.05,1111088889,14.1905,0.1852,157.6805,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,456,385,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,computers,0.9344,0.2234,0.9344,0.8798,0.4361,0.8798,0.9528,0.1464,0.9528,0.9001,0.4087,0.9001,0.5,0.5156,0.5206,0.5167,0.516,0.503,0.5389,0.09,1234543210,20.2867,0.1754,169.7956,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,500,356,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
