,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,pubmed,0.8848,0.3304,0.8848,0.8616,0.3716,0.8616,0.9233,0.2214,0.9233,0.8442,0.446,0.8442,0.5,0.5106,0.505,0.4971,0.5077,0.5033,0.5171,0.04,123454321,6.312,0.1748,79.707,0.0,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,443,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,pubmed,0.8857,0.3195,0.8857,0.8544,0.3915,0.8544,0.9213,0.2251,0.9213,0.8438,0.4567,0.8438,0.5,0.5037,0.4974,0.503,0.5099,0.4983,0.5193,0.23,246908642,6.3594,0.1797,79.707,0.0,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,444,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,pubmed,0.8722,0.3373,0.8722,0.8546,0.3986,0.8546,0.9193,0.235,0.9193,0.8422,0.4498,0.8422,0.5,0.5,0.5016,0.4995,0.4994,0.5023,0.5188,0.18,370362963,6.2241,0.1978,79.707,0.0,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,397,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,pubmed,0.88,0.3353,0.88,0.8571,0.3963,0.8571,0.9209,0.2275,0.9209,0.8521,0.4307,0.8521,0.5,0.5043,0.5061,0.4997,0.5067,0.5023,0.5135,0.34,493817284,6.2097,0.1747,79.707,0.0,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,465,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,pubmed,0.8825,0.3325,0.8825,0.8469,0.4162,0.8469,0.9263,0.22,0.9263,0.8413,0.4485,0.8413,0.5,0.5145,0.5126,0.5011,0.5085,0.5103,0.5233,0.12,617271605,6.5606,0.1791,79.707,0.0,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,437,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,pubmed,0.8803,0.3253,0.8803,0.8463,0.3994,0.8463,0.9215,0.2386,0.9215,0.8336,0.4636,0.8336,0.5,0.5094,0.5063,0.4981,0.504,0.506,0.5172,0.4,740725926,6.2774,0.1746,79.707,0.0,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,407,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,pubmed,0.8834,0.3273,0.8834,0.8472,0.4259,0.8472,0.92,0.2212,0.92,0.8449,0.4299,0.8449,0.5,0.5,0.5106,0.5013,0.5018,0.5169,0.5283,0.13,864180247,6.2075,0.1883,79.707,0.0,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,410,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,pubmed,0.8837,0.317,0.8837,0.8587,0.3857,0.8587,0.9195,0.2333,0.9195,0.8377,0.4571,0.8377,0.5,0.504,0.5025,0.498,0.509,0.4939,0.513,0.49,987634568,6.4547,0.1933,79.5866,0.0,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,499,392,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,pubmed,0.8814,0.3278,0.8814,0.8578,0.3972,0.8578,0.9204,0.228,0.9204,0.8487,0.4528,0.8487,0.5,0.5041,0.506,0.5055,0.5063,0.5055,0.5149,0.26,1111088889,6.2829,0.1754,79.707,0.0,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,439,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,pubmed,0.8821,0.3258,0.8821,0.8569,0.3908,0.8569,0.9195,0.2362,0.9195,0.8510,0.4223,0.8510,0.5,0.5090,0.5101,0.5049,0.5033,0.5052,0.5141,0.3700,1234543210,6.1643,0.1806,79.7070,0.0000,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,398,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
