,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,cora,0.9573,0.222,0.9573,0.8013,0.6876,0.8013,1.0,0.0125,1.0,0.7816,0.9538,0.7816,0.5,0.5427,0.5854,0.5263,0.5287,0.5378,0.6248,0.1,123454321,0.8696,0.1763,53.987,0.0002,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,cora,0.9589,0.2435,0.9589,0.8046,0.5892,0.8046,0.9984,0.0128,0.9984,0.8161,0.8764,0.8161,0.5,0.5255,0.5961,0.5074,0.5066,0.509,0.6092,0.1,246908642,0.8695,0.1759,53.987,0.0002,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,cora,0.9327,0.2524,0.9327,0.8062,0.621,0.8062,0.9901,0.0271,0.9901,0.7947,0.8959,0.7947,0.5,0.5386,0.5829,0.5213,0.4926,0.5099,0.601,0.12,370362963,0.8645,0.1746,53.987,0.0002,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,cora,0.9343,0.2629,0.9343,0.8046,0.6292,0.8046,0.9984,0.0102,0.9984,0.78,1.0744,0.78,0.5,0.5452,0.5878,0.5123,0.5238,0.5181,0.6215,0.09,493817284,0.8104,0.1732,53.987,0.0002,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,271,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,cora,0.9475,0.2331,0.9475,0.8243,0.5819,0.8243,0.9967,0.0167,0.9967,0.7603,0.9925,0.7603,0.5,0.5673,0.5952,0.5115,0.5057,0.5279,0.6149,0.08,617271605,0.8687,0.1783,53.987,0.0002,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,244,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,cora,0.9458,0.2353,0.9458,0.8194,0.6173,0.8194,0.9984,0.0133,0.9984,0.7783,1.0101,0.7783,0.5,0.555,0.5993,0.5181,0.523,0.5246,0.6182,0.07,740725926,0.8675,0.1772,53.987,0.0002,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,245,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,cora,0.9392,0.2511,0.9392,0.8227,0.5774,0.8227,0.9984,0.0144,0.9984,0.8062,0.8154,0.8062,0.5,0.5435,0.5854,0.5238,0.4984,0.5164,0.6076,0.16,864180247,0.7896,0.1756,53.987,0.0002,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,cora,0.931,0.271,0.931,0.7701,0.7009,0.7701,0.9967,0.0127,0.9967,0.78,0.8663,0.78,0.5,0.5517,0.5928,0.5164,0.5189,0.5131,0.6264,0.06,987634568,0.8663,0.1841,53.987,0.0002,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,261,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,cora,0.9261,0.2442,0.9261,0.8259,0.5827,0.8259,0.9967,0.0166,0.9967,0.7997,0.8913,0.7997,0.5,0.5558,0.6084,0.5337,0.5172,0.5238,0.6256,0.07,1111088889,0.8679,0.1739,53.987,0.0002,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,243,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,cora,0.9409,0.2501,0.9409,0.8046,0.6494,0.8046,1.0000,0.0084,1.0000,0.7849,0.8811,0.7849,0.5,0.5460,0.5911,0.5222,0.5074,0.5238,0.6190,0.0800,1234543210,0.8683,0.1767,53.9870,0.0002,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,252,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
